Id;Produto;DescProduto;Cor;DescCor;Tamanhho;DescTamanho
105736.6534.10;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;10;8
105736.8430.1;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;1;P
105736.8430.2;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;2;M
105736.8430.3;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;3;G
105736.8430.4;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;4;GG
105736.8430.5;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;5;1
105736.8430.6;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;6;2
105736.8430.7;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;7;3
105736.8430.8;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;8;4
105736.8430.9;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;9;6
105736.8430.10;105736;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;10;8
105758.4693.1;105758;CONJUNTO FEM.;4693;PINK 17-2031 KYLY;1;1
105758.4693.2;105758;CONJUNTO FEM.;4693;PINK 17-2031 KYLY;2;2
105758.4693.3;105758;CONJUNTO FEM.;4693;PINK 17-2031 KYLY;3;3
105758.4693.4;105758;CONJUNTO FEM.;4693;PINK 17-2031 KYLY;4;4
105758.4693.5;105758;CONJUNTO FEM.;4693;PINK 17-2031 KYLY;5;6
105758.4693.6;105758;CONJUNTO FEM.;4693;PINK 17-2031 KYLY;6;8
105758.5343.1;105758;CONJUNTO FEM.;5343;LILAS 15-3214 KYLY;1;1
105758.5343.2;105758;CONJUNTO FEM.;5343;LILAS 15-3214 KYLY;2;2
105758.5343.3;105758;CONJUNTO FEM.;5343;LILAS 15-3214 KYLY;3;3
105758.5343.4;105758;CONJUNTO FEM.;5343;LILAS 15-3214 KYLY;4;4
105758.5343.5;105758;CONJUNTO FEM.;5343;LILAS 15-3214 KYLY;5;6
105758.5343.6;105758;CONJUNTO FEM.;5343;LILAS 15-3214 KYLY;6;8
105758.6534.1;105758;CONJUNTO FEM.;6534;AZUL 18-3922 KYLY;1;1
105758.6534.2;105758;CONJUNTO FEM.;6534;AZUL 18-3922 KYLY;2;2
105758.6534.3;105758;CONJUNTO FEM.;6534;AZUL 18-3922 KYLY;3;3
105758.6534.4;105758;CONJUNTO FEM.;6534;AZUL 18-3922 KYLY;4;4
105758.6534.5;105758;CONJUNTO FEM.;6534;AZUL 18-3922 KYLY;5;6
105758.6534.6;105758;CONJUNTO FEM.;6534;AZUL 18-3922 KYLY;6;8
105829.0102.1;105829;CONJUNTO MASC.;102;CINZA CLARO;1;4
105829.0102.2;105829;CONJUNTO MASC.;102;CINZA CLARO;2;6
105829.0102.3;105829;CONJUNTO MASC.;102;CINZA CLARO;3;8
105829.0102.4;105829;CONJUNTO MASC.;102;CINZA CLARO;4;10
105829.0102.5;105829;CONJUNTO MASC.;102;CINZA CLARO;5;12
105829.0102.6;105829;CONJUNTO MASC.;102;CINZA CLARO;6;14
105829.0102.7;105829;CONJUNTO MASC.;102;CINZA CLARO;7;16
105829.6101.1;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;1;4
105829.6101.2;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;2;6
105829.6101.3;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;3;8
105829.6101.4;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;4;10
105829.6101.5;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;5;12
105829.6101.6;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;6;14
105829.6101.7;105829;CONJUNTO MASC.;6101;MARINHO 19-4025;7;16
105829.7045.1;105829;CONJUNTO MASC.;7045;VERDE;1;4
105829.7045.2;105829;CONJUNTO MASC.;7045;VERDE;2;6
105829.7045.3;105829;CONJUNTO MASC.;7045;VERDE;3;8
105829.7045.4;105829;CONJUNTO MASC.;7045;VERDE;4;10
105829.7045.5;105829;CONJUNTO MASC.;7045;VERDE;5;12
105829.7045.6;105829;CONJUNTO MASC.;7045;VERDE;6;14
105829.7045.7;105829;CONJUNTO MASC.;7045;VERDE;7;16
105778.0071.1;105778;CONJUNTO MASC.;71;CINZA;1;1
105778.0071.2;105778;CONJUNTO MASC.;71;CINZA;2;2
105778.0071.3;105778;CONJUNTO MASC.;71;CINZA;3;3
105778.0071.4;105778;CONJUNTO MASC.;71;CINZA;4;4
105778.0071.5;105778;CONJUNTO MASC.;71;CINZA;5;6
105778.0071.6;105778;CONJUNTO MASC.;71;CINZA;6;8
105778.6101.1;105778;CONJUNTO MASC.;6101;MARINHO 19-4025;1;1
105778.6101.2;105778;CONJUNTO MASC.;6101;MARINHO 19-4025;2;2
105778.6101.3;105778;CONJUNTO MASC.;6101;MARINHO 19-4025;3;3
105778.6101.4;105778;CONJUNTO MASC.;6101;MARINHO 19-4025;4;4
105778.6101.5;105778;CONJUNTO MASC.;6101;MARINHO 19-4025;5;6
105778.6101.6;105778;CONJUNTO MASC.;6101;MARINHO 19-4025;6;8
105778.8430.1;105778;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;1;1
105778.8430.2;105778;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;2;2
105778.8430.3;105778;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;3;3
105778.8430.4;105778;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;4;4
105778.8430.5;105778;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;5;6
105778.8430.6;105778;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;6;8
105827.0223.1;105827;CONJUNTO MASC.;223;CINZA;1;4
105827.0223.2;105827;CONJUNTO MASC.;223;CINZA;2;6
105827.0223.3;105827;CONJUNTO MASC.;223;CINZA;3;8
105827.0223.4;105827;CONJUNTO MASC.;223;CINZA;4;10
105827.0223.5;105827;CONJUNTO MASC.;223;CINZA;5;12
105827.0223.6;105827;CONJUNTO MASC.;223;CINZA;6;14
105827.0223.7;105827;CONJUNTO MASC.;223;CINZA;7;16
105827.6101.1;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;1;4
105827.6101.2;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;2;6
105827.6101.3;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;3;8
105827.6101.4;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;4;10
105827.6101.5;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;5;12
105827.6101.6;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;6;14
105827.6101.7;105827;CONJUNTO MASC.;6101;MARINHO 19-4025;7;16
105827.8430.1;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;1;4
105827.8430.2;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;2;6
105827.8430.3;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;3;8
105827.8430.4;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;4;10
105827.8430.5;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;5;12
105827.8430.6;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;6;14
105827.8430.7;105827;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;7;16
702705.5343.1;702705;TIARA;5343;LILAS 15-3214 KYLY;1;U
702705.9010.1;702705;TIARA;9010;PRETO;1;U
702717.4647.1;702717;TIARA;4647;NUDE 14-1309 KYLY;1;U
702717.9010.1;702717;TIARA;9010;PRETO;1;U
702704.4693.1;702704;TIARA;4693;PINK 17-2031 KYLY;1;U
702704.6101.1;702704;TIARA;6101;MARINHO 19-4025;1;U
105828.6101.1;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;1;4
105828.6101.2;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;2;6
105828.6101.3;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;3;8
105828.6101.4;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;4;10
105828.6101.5;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;5;12
105828.6101.6;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;6;14
105828.6101.7;105828;CONJUNTO MASC.;6101;MARINHO 19-4025;7;16
105828.7262.1;105828;CONJUNTO MASC.;7262;VERDE (19-0512);1;4
105828.7262.2;105828;CONJUNTO MASC.;7262;VERDE (19-0512);2;6
105828.7262.3;105828;CONJUNTO MASC.;7262;VERDE (19-0512);3;8
105828.7262.4;105828;CONJUNTO MASC.;7262;VERDE (19-0512);4;10
105828.7262.5;105828;CONJUNTO MASC.;7262;VERDE (19-0512);5;12
105828.7262.6;105828;CONJUNTO MASC.;7262;VERDE (19-0512);6;14
105828.7262.7;105828;CONJUNTO MASC.;7262;VERDE (19-0512);7;16
105828.8430.1;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;1;4
105828.8430.2;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;2;6
105828.8430.3;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;3;8
105828.8430.4;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;4;10
105828.8430.5;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;5;12
105828.8430.6;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;6;14
105828.8430.7;105828;CONJUNTO MASC.;8430;AREIA 15-1305 KYLY;7;16
702780.5343.1;702780;TIARA;5343;LILAS 15-3214 KYLY;1;U
702782.9010.1;702782;CINTO FEM.;9010;PRETO;1;12A24M
702782.9010.2;702782;CINTO FEM.;9010;PRETO;2;3A6A
702782.GOLD.1;702782;CINTO FEM.;GOLD;GOLD;1;12A24M
702782.GOLD.2;702782;CINTO FEM.;GOLD;GOLD;2;3A6A
702788.6101.1;702788;CINTO MASC.;6101;MARINHO 19-4025;1;12A24M
702788.6101.2;702788;CINTO MASC.;6101;MARINHO 19-4025;2;3A6A
702788.8430.1;702788;CINTO MASC.;8430;AREIA 15-1305 KYLY;1;12A24M
702788.8430.2;702788;CINTO MASC.;8430;AREIA 15-1305 KYLY;2;3A6A
702779.4361.1;702779;TIARA;4361;ROSA CLARO;1;U
702779.6101.1;702779;TIARA;6101;MARINHO 19-4025;1;U
105801.4372.1;105801;VESTIDO FEM.;4372;VERMELHO;1;4
105801.4372.2;105801;VESTIDO FEM.;4372;VERMELHO;2;6
105801.4372.3;105801;VESTIDO FEM.;4372;VERMELHO;3;8
105801.4372.4;105801;VESTIDO FEM.;4372;VERMELHO;4;10
105801.4372.5;105801;VESTIDO FEM.;4372;VERMELHO;5;12
105801.4372.6;105801;VESTIDO FEM.;4372;VERMELHO;6;14
105801.4372.7;105801;VESTIDO FEM.;4372;VERMELHO;7;16
105801.5344.1;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;1;4
105801.5344.2;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;2;6
105801.5344.3;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;3;8
105801.5344.4;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;4;10
105801.5344.5;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;5;12
105801.5344.6;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;6;14
105801.5344.7;105801;VESTIDO FEM.;5344;ROXO 18-3230KYLY;7;16
105801.6101.1;105801;VESTIDO FEM.;6101;MARINHO 19-4025;1;4
105801.6101.2;105801;VESTIDO FEM.;6101;MARINHO 19-4025;2;6
105801.6101.3;105801;VESTIDO FEM.;6101;MARINHO 19-4025;3;8
105801.6101.4;105801;VESTIDO FEM.;6101;MARINHO 19-4025;4;10
105801.6101.5;105801;VESTIDO FEM.;6101;MARINHO 19-4025;5;12
105801.6101.6;105801;VESTIDO FEM.;6101;MARINHO 19-4025;6;14
105801.6101.7;105801;VESTIDO FEM.;6101;MARINHO 19-4025;7;16
105749.4372.1;105749;VESTIDO;4372;VERMELHO;1;1
105749.4372.2;105749;VESTIDO;4372;VERMELHO;2;2
105749.4372.3;105749;VESTIDO;4372;VERMELHO;3;3
105749.4372.4;105749;VESTIDO;4372;VERMELHO;4;4
105749.4372.5;105749;VESTIDO;4372;VERMELHO;5;6
105749.4372.6;105749;VESTIDO;4372;VERMELHO;6;8
105749.5344.1;105749;VESTIDO;5344;ROXO 18-3230KYLY;1;1
105749.5344.2;105749;VESTIDO;5344;ROXO 18-3230KYLY;2;2
105749.5344.3;105749;VESTIDO;5344;ROXO 18-3230KYLY;3;3
105749.5344.4;105749;VESTIDO;5344;ROXO 18-3230KYLY;4;4
105749.5344.5;105749;VESTIDO;5344;ROXO 18-3230KYLY;5;6
105749.5344.6;105749;VESTIDO;5344;ROXO 18-3230KYLY;6;8
105749.7876.1;105749;VESTIDO;7876;VERDE 14-4804 KYLY;1;1
105749.7876.2;105749;VESTIDO;7876;VERDE 14-4804 KYLY;2;2
105749.7876.3;105749;VESTIDO;7876;VERDE 14-4804 KYLY;3;3
105749.7876.4;105749;VESTIDO;7876;VERDE 14-4804 KYLY;4;4
105749.7876.5;105749;VESTIDO;7876;VERDE 14-4804 KYLY;5;6
105749.7876.6;105749;VESTIDO;7876;VERDE 14-4804 KYLY;6;8
105713.4372.1;105713;VESTIDO;4372;VERMELHO;1;P
105713.4372.2;105713;VESTIDO;4372;VERMELHO;2;M
105713.4372.3;105713;VESTIDO;4372;VERMELHO;3;G
105713.4372.4;105713;VESTIDO;4372;VERMELHO;4;GG
105713.4372.5;105713;VESTIDO;4372;VERMELHO;5;1
105713.4372.6;105713;VESTIDO;4372;VERMELHO;6;2
105713.4372.7;105713;VESTIDO;4372;VERMELHO;7;3
105713.4372.8;105713;VESTIDO;4372;VERMELHO;8;4
105713.4372.9;105713;VESTIDO;4372;VERMELHO;9;6
105713.4372.10;105713;VESTIDO;4372;VERMELHO;10;8
105713.5343.1;105713;VESTIDO;5343;LILAS 15-3214 KYLY;1;P
105713.5343.2;105713;VESTIDO;5343;LILAS 15-3214 KYLY;2;M
105713.5343.3;105713;VESTIDO;5343;LILAS 15-3214 KYLY;3;G
105713.5343.4;105713;VESTIDO;5343;LILAS 15-3214 KYLY;4;GG
105713.5343.5;105713;VESTIDO;5343;LILAS 15-3214 KYLY;5;1
105713.5343.6;105713;VESTIDO;5343;LILAS 15-3214 KYLY;6;2
105713.5343.7;105713;VESTIDO;5343;LILAS 15-3214 KYLY;7;3
105713.5343.8;105713;VESTIDO;5343;LILAS 15-3214 KYLY;8;4
105713.5343.9;105713;VESTIDO;5343;LILAS 15-3214 KYLY;9;6
105713.5343.10;105713;VESTIDO;5343;LILAS 15-3214 KYLY;10;8
105713.6101.1;105713;VESTIDO;6101;MARINHO 19-4025;1;P
105713.6101.2;105713;VESTIDO;6101;MARINHO 19-4025;2;M
105713.6101.3;105713;VESTIDO;6101;MARINHO 19-4025;3;G
105713.6101.4;105713;VESTIDO;6101;MARINHO 19-4025;4;GG
105713.6101.5;105713;VESTIDO;6101;MARINHO 19-4025;5;1
105713.6101.6;105713;VESTIDO;6101;MARINHO 19-4025;6;2
105713.6101.7;105713;VESTIDO;6101;MARINHO 19-4025;7;3
105713.6101.8;105713;VESTIDO;6101;MARINHO 19-4025;8;4
105713.6101.9;105713;VESTIDO;6101;MARINHO 19-4025;9;6
105713.6101.10;105713;VESTIDO;6101;MARINHO 19-4025;10;8
105779.0223.1;105779;CONJUNTO MASC.;223;CINZA;1;1
105779.0223.2;105779;CONJUNTO MASC.;223;CINZA;2;2
105779.0223.3;105779;CONJUNTO MASC.;223;CINZA;3;3
105779.0223.4;105779;CONJUNTO MASC.;223;CINZA;4;4
105779.0223.5;105779;CONJUNTO MASC.;223;CINZA;5;6
105779.0223.6;105779;CONJUNTO MASC.;223;CINZA;6;8
105779.6042.1;105779;CONJUNTO MASC.;6042;PETROLEO;1;1
105779.6042.2;105779;CONJUNTO MASC.;6042;PETROLEO;2;2
105779.6042.3;105779;CONJUNTO MASC.;6042;PETROLEO;3;3
105779.6042.4;105779;CONJUNTO MASC.;6042;PETROLEO;4;4
105779.6042.5;105779;CONJUNTO MASC.;6042;PETROLEO;5;6
105779.6042.6;105779;CONJUNTO MASC.;6042;PETROLEO;6;8
105779.6101.1;105779;CONJUNTO MASC.;6101;MARINHO 19-4025;1;1
105779.6101.2;105779;CONJUNTO MASC.;6101;MARINHO 19-4025;2;2
105779.6101.3;105779;CONJUNTO MASC.;6101;MARINHO 19-4025;3;3
105779.6101.4;105779;CONJUNTO MASC.;6101;MARINHO 19-4025;4;4
105779.6101.5;105779;CONJUNTO MASC.;6101;MARINHO 19-4025;5;6
105779.6101.6;105779;CONJUNTO MASC.;6101;MARINHO 19-4025;6;8
105725.4372.1;105725;CAMISETA MASC.;4372;VERMELHO;1;P
105725.4372.2;105725;CAMISETA MASC.;4372;VERMELHO;2;M
105725.4372.3;105725;CAMISETA MASC.;4372;VERMELHO;3;G
105725.4372.4;105725;CAMISETA MASC.;4372;VERMELHO;4;GG
105725.4372.5;105725;CAMISETA MASC.;4372;VERMELHO;5;1
105725.4372.6;105725;CAMISETA MASC.;4372;VERMELHO;6;2
105725.4372.7;105725;CAMISETA MASC.;4372;VERMELHO;7;3
105725.6532.1;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;1;P
105725.6532.2;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;2;M
105725.6532.3;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;3;G
105725.6532.4;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;4;GG
105725.6532.5;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;5;1
105725.6532.6;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;6;2
105725.6532.7;105725;CAMISETA MASC.;6532;AZUL 19-4049 KYLY;7;3
105725.7125.1;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);1;P
105725.7125.2;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);2;M
105725.7125.3;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);3;G
105725.7125.4;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);4;GG
105725.7125.5;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);5;1
105725.7125.6;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);6;2
105725.7125.7;105725;CAMISETA MASC.;7125;VERDE JADE (17-5126);7;3
105723.1186.1;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;1;P
105723.1186.2;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;2;M
105723.1186.3;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;3;G
105723.1186.4;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;4;GG
105723.1186.5;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;5;1
105723.1186.6;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;6;2
105723.1186.7;105723;REGATA MASC.;1186;TURQUESA  18-4535 KYLY;7;3
105723.6101.1;105723;REGATA MASC.;6101;MARINHO 19-4025;1;P
105723.6101.2;105723;REGATA MASC.;6101;MARINHO 19-4025;2;M
105723.6101.3;105723;REGATA MASC.;6101;MARINHO 19-4025;3;G
105723.6101.4;105723;REGATA MASC.;6101;MARINHO 19-4025;4;GG
105723.6101.5;105723;REGATA MASC.;6101;MARINHO 19-4025;5;1
105723.6101.6;105723;REGATA MASC.;6101;MARINHO 19-4025;6;2
105723.6101.7;105723;REGATA MASC.;6101;MARINHO 19-4025;7;3
105723.7930.1;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;1;P
105723.7930.2;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;2;M
105723.7930.3;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;3;G
105723.7930.4;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;4;GG
105723.7930.5;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;5;1
105723.7930.6;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;6;2
105723.7930.7;105723;REGATA MASC.;7930;VERDE MAÇA 14-0425 KYLY;7;3
105724.1186.1;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;1;P
105724.1186.2;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;2;M
105724.1186.3;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;3;G
105724.1186.4;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;4;GG
105724.1186.5;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;5;1
105724.1186.6;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;6;2
105724.1186.7;105724;CAMISETA MASC.;1186;TURQUESA  18-4535 KYLY;7;3
105724.6101.1;105724;CAMISETA MASC.;6101;MARINHO 19-4025;1;P
105724.6101.2;105724;CAMISETA MASC.;6101;MARINHO 19-4025;2;M
105724.6101.3;105724;CAMISETA MASC.;6101;MARINHO 19-4025;3;G
105724.6101.4;105724;CAMISETA MASC.;6101;MARINHO 19-4025;4;GG
105724.6101.5;105724;CAMISETA MASC.;6101;MARINHO 19-4025;5;1
105724.6101.6;105724;CAMISETA MASC.;6101;MARINHO 19-4025;6;2
105724.6101.7;105724;CAMISETA MASC.;6101;MARINHO 19-4025;7;3
105724.7840.1;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;1;P
105724.7840.2;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;2;M
105724.7840.3;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;3;G
105724.7840.4;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;4;GG
105724.7840.5;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;5;1
105724.7840.6;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;6;2
105724.7840.7;105724;CAMISETA MASC.;7840;VERDE 16-0220 KYLY;7;3
105859.0001.1;105859;CONJUNTO PIJAMA MASC.;1;BRANCO;1;1
105859.0001.2;105859;CONJUNTO PIJAMA MASC.;1;BRANCO;2;2
105859.0001.3;105859;CONJUNTO PIJAMA MASC.;1;BRANCO;3;3
105859.0001.4;105859;CONJUNTO PIJAMA MASC.;1;BRANCO;4;4
105859.0001.5;105859;CONJUNTO PIJAMA MASC.;1;BRANCO;5;6
105859.0001.6;105859;CONJUNTO PIJAMA MASC.;1;BRANCO;6;8
105859.0020.1;105859;CONJUNTO PIJAMA MASC.;20;MESCLA;1;1
105859.0020.2;105859;CONJUNTO PIJAMA MASC.;20;MESCLA;2;2
105859.0020.3;105859;CONJUNTO PIJAMA MASC.;20;MESCLA;3;3
105859.0020.4;105859;CONJUNTO PIJAMA MASC.;20;MESCLA;4;4
105859.0020.5;105859;CONJUNTO PIJAMA MASC.;20;MESCLA;5;6
105859.0020.6;105859;CONJUNTO PIJAMA MASC.;20;MESCLA;6;8
105732.0001.1;105732;CONJUNTO MASC.;1;BRANCO;1;P
105732.0001.2;105732;CONJUNTO MASC.;1;BRANCO;2;M
105732.0001.3;105732;CONJUNTO MASC.;1;BRANCO;3;G
105732.0001.4;105732;CONJUNTO MASC.;1;BRANCO;4;GG
105732.0001.5;105732;CONJUNTO MASC.;1;BRANCO;5;1
105732.0001.6;105732;CONJUNTO MASC.;1;BRANCO;6;2
